timestamp_ms,state,event,queue_depth,s0_pos,s1_pos,s2_pos,servo0_angle,tune_string,tune_attempt,measured_hz,target_hz,tune_servo_angle,note_index,note_string
1542,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1543,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1544,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1546,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1547,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1548,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1549,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1550,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1551,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1553,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1554,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1555,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1556,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1557,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1558,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1559,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1560,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1562,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1563,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1564,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1565,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1566,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1567,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1569,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1570,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1571,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1572,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1573,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1574,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1575,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1576,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1578,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1579,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1580,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1581,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1582,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1584,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1585,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1586,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1587,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1588,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
